2017-09-19T20:29:26.247625+00:00 app[web.1]:  2017-09-19 20:29:26,247 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@105189a]
2017-09-19T20:29:26.277165+00:00 app[web.1]:  2017-09-19 20:29:26,277 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@83fd2aa] for JPA transaction
2017-09-19T20:29:26.277323+00:00 app[web.1]:  2017-09-19 20:29:26,277 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@de84fa6]
2017-09-19T20:29:26.290452+00:00 app[web.1]:  2017-09-19 20:29:26,290 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.290458+00:00 app[web.1]:  2017-09-19 20:29:26,290 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@83fd2aa]
2017-09-19T20:29:26.291544+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.291649+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@83fd2aa] after transaction
2017-09-19T20:29:26.291651+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.291805+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:29:26.291845+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@7cf39bd2] for JPA transaction
2017-09-19T20:29:26.291946+00:00 app[web.1]:  2017-09-19 20:29:26,291 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@33a96e95]
2017-09-19T20:29:26.307557+00:00 app[web.1]:  2017-09-19 20:29:26,307 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.307564+00:00 app[web.1]:  2017-09-19 20:29:26,307 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@7cf39bd2]
2017-09-19T20:29:26.308779+00:00 app[web.1]:  2017-09-19 20:29:26,308 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.308876+00:00 app[web.1]:  2017-09-19 20:29:26,308 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@7cf39bd2] after transaction
2017-09-19T20:29:26.308879+00:00 app[web.1]:  2017-09-19 20:29:26,308 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.309084+00:00 app[web.1]:  2017-09-19 20:29:26,309 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@493a6ed1] for JPA transaction
2017-09-19T20:29:26.309225+00:00 app[web.1]:  2017-09-19 20:29:26,309 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@319f6ca5]
2017-09-19T20:29:26.309021+00:00 app[web.1]:  2017-09-19 20:29:26,308 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:29:26.330149+00:00 app[web.1]:  2017-09-19 20:29:26,330 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.330155+00:00 app[web.1]:  2017-09-19 20:29:26,330 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@493a6ed1]
2017-09-19T20:29:26.331299+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.331425+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@493a6ed1] after transaction
2017-09-19T20:29:26.331427+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.331565+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:29:26.331614+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@33c13989] for JPA transaction
2017-09-19T20:29:26.331708+00:00 app[web.1]:  2017-09-19 20:29:26,331 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@79719110]
2017-09-19T20:29:26.351035+00:00 app[web.1]:  2017-09-19 20:29:26,350 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.351038+00:00 app[web.1]:  2017-09-19 20:29:26,350 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@33c13989]
2017-09-19T20:29:26.354689+00:00 app[web.1]:  2017-09-19 20:29:26,354 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.354843+00:00 app[web.1]:  2017-09-19 20:29:26,354 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@33c13989] after transaction
2017-09-19T20:29:26.354847+00:00 app[web.1]:  2017-09-19 20:29:26,354 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.355057+00:00 app[web.1]:  2017-09-19 20:29:26,355 [DEBUG ] JpaTransactionManager - Creating new transaction with name [org.mitre.oauth2.repository.impl.JpaOAuth2ClientRepository.getClientByClientId]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT; 'defaultTransactionManager'
2017-09-19T20:29:26.355121+00:00 app[web.1]:  2017-09-19 20:29:26,355 [DEBUG ] JpaTransactionManager - Opened new EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3f17f9dc] for JPA transaction
2017-09-19T20:29:26.355235+00:00 app[web.1]:  2017-09-19 20:29:26,355 [DEBUG ] JpaTransactionManager - Exposing JPA transaction as JDBC transaction [org.springframework.orm.jpa.vendor.EclipseLinkJpaDialect$EclipseLinkConnectionHandle@4a9b163f]
2017-09-19T20:29:26.382636+00:00 app[web.1]:  2017-09-19 20:29:26,382 [DEBUG ] JpaTransactionManager - Initiating transaction commit
2017-09-19T20:29:26.382642+00:00 app[web.1]:  2017-09-19 20:29:26,382 [DEBUG ] JpaTransactionManager - Committing JPA transaction on EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3f17f9dc]
2017-09-19T20:29:26.383909+00:00 app[web.1]:  2017-09-19 20:29:26,383 [DEBUG ] PoolElf - HikariPool-0 - Reset (nothing) on connection org.postgresql.jdbc4.Jdbc4Connection@40559453
2017-09-19T20:29:26.384049+00:00 app[web.1]:  2017-09-19 20:29:26,384 [DEBUG ] JpaTransactionManager - Closing JPA EntityManager [org.eclipse.persistence.internal.jpa.EntityManagerImpl@3f17f9dc] after transaction
2017-09-19T20:29:26.384053+00:00 app[web.1]:  2017-09-19 20:29:26,384 [DEBUG ] EntityManagerFactoryUtils - Closing JPA EntityManager
2017-09-19T20:29:26.384738+00:00 app[web.1]:  2017-09-19 20:29:26,384 [DEBUG ] BeanNameViewResolver - No matching bean found for view name 'approve'
2017-09-19T20:29:26.385035+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] DispatcherServlet - Rendering view [org.springframework.web.servlet.view.JstlView: name 'approve'; URL [/WEB-INF/views/approve.jsp]] in DispatcherServlet with name 'spring'
2017-09-19T20:29:26.385089+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'authorizationRequest' of type [org.springframework.security.oauth2.provider.AuthorizationRequest] to request in view with name 'approve'
2017-09-19T20:29:26.385116+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'org.springframework.validation.BindingResult.authorizationRequest' of type [org.springframework.validation.BeanPropertyBindingResult] to request in view with name 'approve'
2017-09-19T20:29:26.385133+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'auth_request' of type [org.springframework.security.oauth2.provider.AuthorizationRequest] to request in view with name 'approve'
2017-09-19T20:29:26.385155+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'client' of type [org.mitre.oauth2.model.ClientDetailsEntity] to request in view with name 'approve'
2017-09-19T20:29:26.385171+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'redirect_uri' of type [java.lang.String] to request in view with name 'approve'
2017-09-19T20:29:26.385188+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'scopes' of type [java.util.LinkedHashSet] to request in view with name 'approve'
2017-09-19T20:29:26.385224+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'claims' of type [java.util.HashMap] to request in view with name 'approve'
2017-09-19T20:29:26.385261+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'count' of type [java.lang.Integer] to request in view with name 'approve'
2017-09-19T20:29:26.385284+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'contacts' of type [java.lang.String] to request in view with name 'approve'
2017-09-19T20:29:26.385304+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'gras' of type [java.lang.Boolean] to request in view with name 'approve'
2017-09-19T20:29:26.385321+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'org.springframework.validation.BindingResult.auth_request' of type [org.springframework.validation.BeanPropertyBindingResult] to request in view with name 'approve'
2017-09-19T20:29:26.385339+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Added model object 'org.springframework.validation.BindingResult.client' of type [org.springframework.validation.BeanPropertyBindingResult] to request in view with name 'approve'
2017-09-19T20:29:26.385529+00:00 app[web.1]:  2017-09-19 20:29:26,385 [DEBUG ] JstlView - Forwarding to resource [/WEB-INF/views/approve.jsp] in InternalResourceView 'approve'
2017-09-19T20:29:28.070343+00:00 app[web.1]:  2017-09-19 20:29:28,070 [DEBUG ] HttpSessionSecurityContextRepository$SaveToSessionResponseWrapper - Skip invoking on
2017-09-19T20:29:28.070476+00:00 app[web.1]:  2017-09-19 20:29:28,070 [DEBUG ] DispatcherServlet - Successfully completed request
2017-09-19T20:29:28.070687+00:00 app[web.1]:  2017-09-19 20:29:28,070 [DEBUG ] ExceptionTranslationFilter - Chain processed normally
2017-09-19T20:29:28.070610+00:00 app[web.1]:  2017-09-19 20:29:28,070 [DEBUG ] DispatcherServlet - Successfully completed request
2017-09-19T20:29:28.070742+00:00 app[web.1]:  2017-09-19 20:29:28,070 [DEBUG ] SecurityContextPersistenceFilter - SecurityContextHolder now cleared, as request processing completed
2017-09-19T20:29:28.401968+00:00 app[web.1]:  2017-09-19 20:29:28,400 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/resources/js/locale/en/messages.json'; against '/token'
2017-09-19T20:29:28.402106+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/resources/js/locale/en/messages.json'; against '/.well-known/**'
2017-09-19T20:29:28.402066+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/resources/js/locale/en/messages.json'; against '/jwk**'
2017-09-19T20:29:28.402134+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/resources/js/locale/en/messages.json'; against '/resources/**'
2017-09-19T20:29:28.402323+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 1 of 7 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2017-09-19T20:29:28.402401+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 2 of 7 in additional filter chain; firing Filter: 'CorsFilter'
2017-09-19T20:29:28.402551+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 3 of 7 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2017-09-19T20:29:28.402611+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 4 of 7 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2017-09-19T20:29:28.402662+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 5 of 7 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2017-09-19T20:29:28.402902+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 6 of 7 in additional filter chain; firing Filter: 'ExceptionTranslationFilter'
2017-09-19T20:29:28.402780+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] AnonymousAuthenticationFilter - Populated SecurityContextHolder with anonymous token: 'org.springframework.security.authentication.AnonymousAuthenticationToken@90554a14: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@3bcc: RemoteIpAddress: 10.13.129.137; SessionId: null; Granted Authorities: ROLE_ANONYMOUS'
2017-09-19T20:29:28.402940+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json at position 7 of 7 in additional filter chain; firing Filter: 'FilterSecurityInterceptor'
2017-09-19T20:29:28.402991+00:00 app[web.1]:  2017-09-19 20:29:28,402 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/resources/js/locale/en/messages.json'; against '/resources/**'
2017-09-19T20:29:28.403069+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] FilterSecurityInterceptor - Secure object: FilterInvocation: URL: /resources/js/locale/en/messages.json; Attributes: [permitAll]
2017-09-19T20:29:28.403116+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] FilterSecurityInterceptor - Previously Authenticated: org.springframework.security.authentication.AnonymousAuthenticationToken@90554a14: Principal: anonymousUser; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@3bcc: RemoteIpAddress: 10.13.129.137; SessionId: null; Granted Authorities: ROLE_ANONYMOUS
2017-09-19T20:29:28.403255+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] AffirmativeBased - Voter: org.springframework.security.web.access.expression.WebExpressionVoter@1c495525, returned: 1
2017-09-19T20:29:28.403271+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] FilterSecurityInterceptor - Authorization successful
2017-09-19T20:29:28.403293+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] FilterSecurityInterceptor - RunAsManager did not change Authentication object
2017-09-19T20:29:28.403333+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] FilterChainProxy - /resources/js/locale/en/messages.json reached end of additional filter chain; proceeding with original chain
2017-09-19T20:29:28.403593+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] ExceptionTranslationFilter - Chain processed normally
2017-09-19T20:29:28.403639+00:00 app[web.1]:  2017-09-19 20:29:28,403 [DEBUG ] SecurityContextPersistenceFilter - SecurityContextHolder now cleared, as request processing completed
2017-09-19T20:29:28.078115+00:00 heroku[router]: at=info method=GET path="/authorize?acr_values=LOA_2&client_id=531b3696-68e6-4738-974c-211f30e8a3ef&nonce=f03d12bf24cf1f409882e75f0b67d417&redirect_uri=http%3A%2F%2Fns357509.ip-91-121-149.eu%3A3005%2Fauth%2Fopenid_connect%2Fcallback&response_type=code&scope=openid+email+profile&state=c0bee3051f0ff590e9b8550b62a8f535" host=sms-xconnect.herokuapp.com request_id=cf857c15-9b67-4780-9dab-e070b6cd5d44 fwd="2.15.151.54" dyno=web.1 connect=0ms service=2736ms status=200 bytes=13189 protocol=http
2017-09-19T20:29:28.407121+00:00 heroku[router]: at=info method=OPTIONS path="/resources/js/locale/en/messages.json" host=sms-xconnect.herokuapp.com request_id=c8c6e9e1-c7f5-4ebc-b0fb-3916a5c364bb fwd="2.15.151.54" dyno=web.1 connect=0ms service=6ms status=200 bytes=358 protocol=https
2017-09-19T20:29:46.405382+00:00 app[web.1]:  2017-09-19 20:29:46,405 [DEBUG ] HikariPool - Before cleanup	pool HikariPool-0 stats (total=10, active=0, idle=10, waiting=0)
2017-09-19T20:29:46.405396+00:00 app[web.1]:  2017-09-19 20:29:46,405 [DEBUG ] HikariPool - After cleanup	pool HikariPool-0 stats (total=10, active=0, idle=10, waiting=0)
2017-09-19T20:30:16.405712+00:00 app[web.1]:  2017-09-19 20:30:16,405 [DEBUG ] HikariPool - Before cleanup	pool HikariPool-0 stats (total=10, active=0, idle=10, waiting=0)
2017-09-19T20:30:16.405835+00:00 app[web.1]:  2017-09-19 20:30:16,405 [DEBUG ] HikariPool - After cleanup	pool HikariPool-0 stats (total=10, active=0, idle=10, waiting=0)
2017-09-19T20:30:24.191453+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/token'
2017-09-19T20:30:24.191535+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/jwk**'
2017-09-19T20:30:24.191545+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/.well-known/**'
2017-09-19T20:30:24.191564+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/resources/**'
2017-09-19T20:30:24.191594+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/register/**'
2017-09-19T20:30:24.191617+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/resource/**'
2017-09-19T20:30:24.191655+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/userinfo**'
2017-09-19T20:30:24.191692+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/api/**'
2017-09-19T20:30:24.191712+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/introspect**'
2017-09-19T20:30:24.191746+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/revoke**'
2017-09-19T20:30:24.191821+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] FilterChainProxy - /authorize at position 1 of 15 in additional filter chain; firing Filter: 'SecurityContextPersistenceFilter'
2017-09-19T20:30:24.191929+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] HttpSessionSecurityContextRepository - Obtained a valid SecurityContext from SPRING_SECURITY_CONTEXT: 'org.springframework.security.core.context.SecurityContextImpl@d0a82bcb: Authentication: org.mitre.openid.connect.model.PhoneNumberAuthenticationToken@d0a82bcb: Principal: 1313; Credentials: [PROTECTED]; Authenticated: true; Details: null; Granted Authorities: ROLE_USER'
2017-09-19T20:30:24.191973+00:00 app[web.1]:  2017-09-19 20:30:24,191 [DEBUG ] FilterChainProxy - /authorize at position 2 of 15 in additional filter chain; firing Filter: 'AuthorizationRequestFilter'
2017-09-19T20:30:24.191998+00:00 app[web.1]:  2017-09-19 20:30:24,191 [INFO  ] AuthorizationRequestFilter - filtring 1 ...
2017-09-19T20:30:24.192023+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/authorize'
2017-09-19T20:30:24.192057+00:00 app[web.1]:  2017-09-19 20:30:24,192 [INFO  ] AuthorizationRequestFilter - filtring 2 ...
2017-09-19T20:30:24.192441+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 3 of 15 in additional filter chain; firing Filter: 'WebAsyncManagerIntegrationFilter'
2017-09-19T20:30:24.192515+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 4 of 15 in additional filter chain; firing Filter: 'HeaderWriterFilter'
2017-09-19T20:30:24.192585+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 5 of 15 in additional filter chain; firing Filter: 'CsrfFilter'
2017-09-19T20:30:24.192675+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 6 of 15 in additional filter chain; firing Filter: 'LogoutFilter'
2017-09-19T20:30:24.192712+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] AntPathRequestMatcher - Checking match of request : '/authorize'; against '/logout'
2017-09-19T20:30:24.192756+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 7 of 15 in additional filter chain; firing Filter: 'SmsUsernamePasswordAuthenticationFilter'
2017-09-19T20:30:24.192839+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 8 of 15 in additional filter chain; firing Filter: 'UsernamePasswordAuthenticationFilter'
2017-09-19T20:30:24.192881+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 9 of 15 in additional filter chain; firing Filter: 'RequestCacheAwareFilter'
2017-09-19T20:30:24.192921+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 10 of 15 in additional filter chain; firing Filter: 'SecurityContextHolderAwareRequestFilter'
2017-09-19T20:30:24.192962+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] FilterChainProxy - /authorize at position 11 of 15 in additional filter chain; firing Filter: 'AnonymousAuthenticationFilter'
2017-09-19T20:30:24.193007+00:00 app[web.1]:  2017-09-19 20:30:24,192 [DEBUG ] AnonymousAuthenticationFilter - SecurityContextHolder not populated with anonymous token, as it already contained: 'org.mitre.openid.connect.model.PhoneNumberAuthenticationToken@d0a82bcb: Principal: 1313; Credentials: [PROTECTED]; Authenticated: true; Details: null; Granted Authorities: ROLE_USER'
2017-09-19T20:30:24.193049+00:00 app[web.1]:  2017-09-19 20:30:24,193 [DEBUG ] FilterChainProxy - /authorize at position 12 of 15 in additional filter chain; firing Filter: 'SessionManagementFilter'
